--UPenn beam model (double gaussian)--
# baseData fitted to mcSquare simulation using BDL_matrad.txt
# created by Paul Anton Meder on 10-Dec-2019

Nozzle exit to Isocenter distance
420.0

SMX to Isocenter distance
2028.5

SMY to Isocenter distance
2028.5

Beam parameters
45 energies

NominalEnergy	MeanEnergy	EnergySpread	ProtonsMU	Weight1	SpotSize1x	Divergence1x	Correlation1x	SpotSize1y	Divergence1y	Correlation1y	Weight2	SpotSize2x	Divergence2x	Correlation2x	SpotSize2y	Divergence2y	Correlation2y	
118.103	118.903	0.925384	1e+06	1	4.89839	0.00426316	0.485397	4.89839	0.00426316	0.485397	0	0	0	0	0	0	0	
119.885	120.676	0.931242	1e+06	1	4.82688	0.0042267	0.485816	4.82688	0.0042267	0.485816	0	0	0	0	0	0	0	
121.667	122.427	0.941086	1e+06	1	4.80328	0.00418259	0.479284	4.80328	0.00418259	0.479284	0	0	0	0	0	0	0	
123.448	124.175	0.947529	1e+06	1	4.76815	0.00413795	0.473759	4.76815	0.00413795	0.473759	0	0	0	0	0	0	0	
125.23	125.927	0.958123	1e+06	1	4.73348	0.00409332	0.468184	4.73348	0.00409332	0.468184	0	0	0	0	0	0	0	
127.011	127.674	0.963498	1e+06	1	4.70731	0.00404867	0.461778	4.70731	0.00404867	0.461778	0	0	0	0	0	0	0	
128.793	129.423	0.968162	1e+06	1	4.67175	0.00400404	0.456294	4.67175	0.00400404	0.456294	0	0	0	0	0	0	0	
130.575	131.183	0.978908	1e+06	1	4.63861	0.00395285	0.453341	4.63861	0.00395285	0.453341	0	0	0	0	0	0	0	
132.356	132.965	0.988713	1e+06	1	4.59172	0.00388792	0.457546	4.59172	0.00388792	0.457546	0	0	0	0	0	0	0	
134.138	134.749	1.00355	1e+06	1	4.54441	0.00382298	0.461805	4.54441	0.00382298	0.461805	0	0	0	0	0	0	0	
135.92	136.528	1.01292	1e+06	1	4.50253	0.00375805	0.465516	4.50253	0.00375805	0.465516	0	0	0	0	0	0	0	
137.701	138.309	1.02752	1e+06	1	4.45987	0.00369312	0.469303	4.45987	0.00369312	0.469303	0	0	0	0	0	0	0	
139.483	140.091	1.03726	1e+06	1	4.42047	0.00362819	0.472737	4.42047	0.00362819	0.472737	0	0	0	0	0	0	0	
141.264	141.854	1.04641	1e+06	1	4.37918	0.00358943	0.47163	4.37918	0.00358943	0.47163	0	0	0	0	0	0	0	
143.046	143.61	1.05353	1e+06	1	4.34701	0.00356138	0.467606	4.34701	0.00356138	0.467606	0	0	0	0	0	0	0	
144.828	145.367	1.05983	1e+06	1	4.31643	0.00353333	0.463409	4.31643	0.00353333	0.463409	0	0	0	0	0	0	0	
146.609	147.124	1.06639	1e+06	1	4.27999	0.00350528	0.459844	4.27999	0.00350528	0.459844	0	0	0	0	0	0	0	
148.391	148.881	1.07529	1e+06	1	4.2436	0.00347724	0.456273	4.2436	0.00347724	0.456273	0	0	0	0	0	0	0	
150.172	150.64	1.08019	1e+06	1	4.21411	0.00344565	0.452168	4.21411	0.00344565	0.452168	0	0	0	0	0	0	0	
151.954	152.441	1.09065	1e+06	1	4.18733	0.00338102	0.449709	4.18733	0.00338102	0.449709	0	0	0	0	0	0	0	
153.736	154.243	1.09711	1e+06	1	4.16635	0.00331638	0.446628	4.16635	0.00331638	0.446628	0	0	0	0	0	0	0	
155.517	156.043	1.10062	1e+06	1	4.14459	0.00325175	0.443631	4.14459	0.00325175	0.443631	0	0	0	0	0	0	0	
157.299	157.844	1.10572	1e+06	1	4.12124	0.00318712	0.440804	4.12124	0.00318712	0.440804	0	0	0	0	0	0	0	
159.08	159.644	1.11235	1e+06	1	4.09422	0.00312249	0.43837	4.09422	0.00312249	0.43837	0	0	0	0	0	0	0	
160.862	161.431	1.1174	1e+06	1	4.07202	0.003057	0.439504	4.07202	0.003057	0.439504	0	0	0	0	0	0	0	
162.644	163.195	1.11957	1e+06	1	4.04981	0.00299057	0.444991	4.04981	0.00299057	0.444991	0	0	0	0	0	0	0	
164.425	164.96	1.1166	1e+06	1	4.02149	0.00292415	0.45115	4.02149	0.00292415	0.45115	0	0	0	0	0	0	0	
166.207	166.72	1.11512	1e+06	1	3.99596	0.00285774	0.457005	3.99596	0.00285774	0.457005	0	0	0	0	0	0	0	
167.989	168.486	1.12126	1e+06	1	3.97631	0.00279131	0.462182	3.97631	0.00279131	0.462182	0	0	0	0	0	0	0	
169.77	170.249	1.12404	1e+06	1	3.95211	0.00272489	0.467876	3.95211	0.00272489	0.467876	0	0	0	0	0	0	0	
171.552	172.042	1.12492	1e+06	1	3.93085	0.00252173	0.531312	3.93085	0.00252173	0.531312	0	0	0	0	0	0	0	
